[Tue Jan 15 04:09:20.019228 2019] [:error] [pid 62835] [client 93.175.71.46:61128] PHP Notice:  Undefined index: warn in /var/www/html/mess/user/index.php on line 191, referer: http://81.2.247.237/mess/?auth=1
[Tue Jan 15 04:09:20.019332 2019] [:error] [pid 62835] [client 93.175.71.46:61128] PHP Notice:  Undefined index: debug in /var/www/html/mess/user/index.php on line 211, referer: http://81.2.247.237/mess/?auth=1
[Tue Jan 15 04:09:43.150837 2019] [:error] [pid 61039] [client 93.175.71.46:61179] PHP Notice:  Undefined index: warn in /var/www/html/mess/user/index.php on line 191, referer: http://81.2.247.237/mess/?auth=1
[Tue Jan 15 04:09:43.150985 2019] [:error] [pid 61039] [client 93.175.71.46:61179] PHP Notice:  Undefined index: debug in /var/www/html/mess/user/index.php on line 211, referer: http://81.2.247.237/mess/?auth=1
[Tue Jan 15 04:09:57.937066 2019] [:error] [pid 61041] [client 89.75.122.143:59189] PHP Notice:  Undefined variable: unmess_user in /var/www/html/mess/user/logout.php on line 7, referer: http://81.2.247.237/mess/user/index.php
[Tue Jan 15 04:09:57.937108 2019] [:error] [pid 61041] [client 89.75.122.143:59189] PHP Notice:  Undefined variable: unmess_user in /var/www/html/mess/user/logout.php on line 8, referer: http://81.2.247.237/mess/user/index.php
[Tue Jan 15 04:09:57.937137 2019] [:error] [pid 61041] [client 89.75.122.143:59189] PHP Notice:  Undefined index: unmess in /var/www/html/mess/user/logout.php on line 9, referer: http://81.2.247.237/mess/user/index.php
[Tue Jan 15 04:10:48.817840 2019] [:error] [pid 61040] [client 93.175.71.46:61288] PHP Notice:  Undefined index: warn in /var/www/html/mess/user/index.php on line 191, referer: http://81.2.247.237/mess/?auth=1
[Tue Jan 15 04:10:48.817997 2019] [:error] [pid 61040] [client 93.175.71.46:61288] PHP Notice:  Undefined index: debug in /var/www/html/mess/user/index.php on line 211, referer: http://81.2.247.237/mess/?auth=1
[Tue Jan 15 04:37:06.237383 2019] [:error] [pid 61180] [client 95.24.15.202:11561] PHP Notice:  Undefined index: unmess_user in /var/www/html/mess/user/index.php on line 2, referer: https://yandex.ru/clck/jsredir?from=yandex.ru%3Bsearch%3Bweb%3B%3B&text=&etext=2034.7-H83fzPpt86LK8-j7795isJORg3Vsg_QYxheNDoE4LGvyKFZEdaAD-xL8W0figl.1a157c94d77351cf0188c73b2cbf2acaf79982e5&uuid=&state=_BLhILn4SxNIvvL0W45KSic66uCIg23qh8iRG98qeIXmeppkgUc0YGv9iZwKiy-E54GYiollMFA&data=UlNrNmk5WktYejR0eWJFYk1LdmtxblprajdrTldIV01mM015RG1WWlFPLW5TVlpkLTFQeEdQRVNrSFNBZGI5S1FwTy1lTGtMY0c3RnREdFZCSE4tU29vMENubVo3aV9kV0hTX3BzMWRXNGx5Q3RjQ0FWTDlnZw&b64e=2&sign=1a4956d74e8e29b0ce29314199dfd6d1&keyno=0&cst=AiuY0DBWFJ7IXge4WdYJQYuwSQLovbTT8R5XGHek5JSY-2uz-cnByRdn8jpZcehePa0SYc80W08CgIUaF3L7n4kNq4tnj10qxyCbOnmHpAhvZew3DrRdLe0D6qjojXnse1EnINpq18JocFMcZKS7-Q&ref=orjY4mGPRjk5boDnW0uvlrrd71vZw9kp5uQozpMtKCWLmUMpz38pRETl3eVh8h4owmjKcvTWE1akdT7kJkpWnAs_65fK6jQlRNit0ET0vIciVSGDdxygCw&l10n=ru&cts=1547544456105&mc=4.49320634943
[Tue Jan 15 04:37:06.237537 2019] [:error] [pid 61180] [client 95.24.15.202:11561] PHP Notice:  Undefined index: unmess in /var/www/html/mess/user/index.php on line 3, referer: https://yandex.ru/clck/jsredir?from=yandex.ru%3Bsearch%3Bweb%3B%3B&text=&etext=2034.7-H83fzPpt86LK8-j7795isJORg3Vsg_QYxheNDoE4LGvyKFZEdaAD-xL8W0figl.1a157c94d77351cf0188c73b2cbf2acaf79982e5&uuid=&state=_BLhILn4SxNIvvL0W45KSic66uCIg23qh8iRG98qeIXmeppkgUc0YGv9iZwKiy-E54GYiollMFA&data=UlNrNmk5WktYejR0eWJFYk1LdmtxblprajdrTldIV01mM015RG1WWlFPLW5TVlpkLTFQeEdQRVNrSFNBZGI5S1FwTy1lTGtMY0c3RnREdFZCSE4tU29vMENubVo3aV9kV0hTX3BzMWRXNGx5Q3RjQ0FWTDlnZw&b64e=2&sign=1a4956d74e8e29b0ce29314199dfd6d1&keyno=0&cst=AiuY0DBWFJ7IXge4WdYJQYuwSQLovbTT8R5XGHek5JSY-2uz-cnByRdn8jpZcehePa0SYc80W08CgIUaF3L7n4kNq4tnj10qxyCbOnmHpAhvZew3DrRdLe0D6qjojXnse1EnINpq18JocFMcZKS7-Q&ref=orjY4mGPRjk5boDnW0uvlrrd71vZw9kp5uQozpMtKCWLmUMpz38pRETl3eVh8h4owmjKcvTWE1akdT7kJkpWnAs_65fK6jQlRNit0ET0vIciVSGDdxygCw&l10n=ru&cts=1547544456105&mc=4.49320634943
